filename,page,content,confidence
BoothVoterList_A4_Ward_212_Booth_11.pdf,16,"यादी भाग क्र. १३७  : १ -स्वीपर्स क्वाटर्स- सर्वोदय नगर, फारुख एस. उमरभाई पथ," ,89
BoothVoterList_A4_Ward_212_Booth_11.pdf,17,"यादी भाग क्र. 930  : ११ - एम्पायर सॉलिटेअर, फारुक उमरभाई रोड, आग्रीपाडा, मुंबई-४०००११" ,88
BoothVoterList_A4_Ward_212_Booth_11.pdf,18,"यादी भाग क्र. 93  : 3 - म्यु.घ .नं.८, रतन हाऊस, फारुख एस.उमरभाई पथ," ,86
BoothVoterList_A4_Ward_212_Booth_11.pdf,19,"यादी भाग क्र. १४४  : १ - म्यु.घ.नं. 49/44, ए सुर्याजी बिल्डींग, हाफिजअली बहादुरखान AM," ,84
BoothVoterList_A4_Ward_212_Booth_11.pdf,22,"यादी भाग क्र. १४४  : २ - म्यु.घ.नं.६७, ए सुर्याजी चाळ, हाफिजअली बहादुरखान AM," ,87
BoothVoterList_A4_Ward_212_Booth_11.pdf,23,"यादी भाग क्र. १४४  : ३ -म्यु. घ नं. 09 A. चाळ नं. १, हाफिजअली बहादुरखान मार्ग," ,88
BoothVoterList_A4_Ward_212_Booth_11.pdf,27,"यादी भाग क्र. १४४  : ४ - म्यु.घ.नं ७३, म्यु.चाळ नं.२, हाफिजअली बहादुरखान मार्ग," ,82
BoothVoterList_A4_Ward_212_Booth_11.pdf,32,"यादी भाग क्र. १४४  : ५ - म्यु.घ.नं ७५, म्यु.चाळ 4.3, हाफिजअली बहादुरखान मार्ग,",71
BoothVoterList_A4_Ward_212_Booth_11.pdf,36,"यादी भाग क्र. १४४  : ६ - म्यु.घ.नं ७७, म्यु.चाळ नं.४, हाफिजअली बहादुरखान मार्ग," ,84
BoothVoterList_A4_Ward_212_Booth_11.pdf,41,"यादी भाग क्र. १४४  : ७ -म्यु.घ.नं.७९, म्यु.चाळ 4.4, हाफिजअली बहादुरखान मार्ग," ,86
BoothVoterList_A4_Ward_212_Booth_11.pdf,45,"यादी भाग क्र. १४४  : ८ -म्यु.घ.नं.८१, म्यु.चाळ नं.६, हाफिजअली बहादुरखान मार्ग," ,91
BoothVoterList_A4_Ward_212_Booth_11.pdf,46,"यादी भाग क्र. १४४  : ९ - सुर्याजी चाळ जवळील झोपडपट्टी, हाफिजअली बहादुरखान मार्ग," ,93
BoothVoterList_A4_Ward_212_Booth_11.pdf,47,"यादी भाग क्र. १४४  : ४ - म्यु.घ.नं ७३, म्यु.चाळ नं.२, हाफिजअली बहादुरखान मार्ग," ,82
